Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
11.67,17.85,0.89,2.427,0.078,196.0, 20.5,  8.5, 2.5,4834,151,2.161,0.023,0.21,0.3,1.42,0.29,16.37,1.38,1.36,0.28,16.02,1.34,1.43,0.3,16.47,1.39,0
11.73,7.48,0.35,1.3,0.031,384.4, 35.5,  3.4, 0.7,4534,135,1.769,0.022,-0.25,0.3,1.15,0.21,23.15,1.62,0.99,0.18,21.49,1.48,1.12,0.2,22.86,1.6,0
11.44,6.15,0.12,1.176,0.018,563.5, 50.6,  2.3, 0.3,4207,147,1.668,0.012,0.22,0.3,0.86,0.09,22.43,0.95,0.71,0.07,20.46,0.84,0.84,0.09,22.28,0.94,0
10.6,16.86,0.76,1.927,0.029,114.4,  8.5,  6.7, 0.9,4514,80,2.121,0.02,0.25,0.15,2.71,0.42,23.71,1.35,2.6,0.4,23.22,1.32,2.73,0.42,23.78,1.35,0
12.1,6.62,0.19,1.152,0.016,527.9, 46.1,  2.7, 0.4,4190,80,1.699,0.014,-0.27,0.15,1.15,0.13,25.09,1.09,0.99,0.11,23.27,0.99,1.11,0.12,24.66,1.07,0
10.27,18.15,0.54,2.638,0.087,132.7,  8.5,  8.0, 2.5,4738,80,2.164,0.014,-0.49,0.15,1.04,0.17,13.95,1.04,0.89,0.14,12.96,0.93,1.0,0.17,13.74,1.01,0
13.42,10.08,0.43,1.553,0.186,309.2, 56.4,  3.6, 0.8,4364,152,1.891,0.021,-0.18,0.3,1.31,0.65,21.46,5.24,1.13,0.55,19.99,4.72,1.27,0.63,21.16,5.13,0
13.57,9.51,1.27,1.466,0.122,285.6, 59.1,  4.9, 1.3,4311,150,1.863,0.059,-0.22,0.3,1.36,0.71,22.59,4.84,1.19,0.61,21.13,4.44,1.32,0.69,22.26,4.75,0
13.91,8.97,0.32,1.384,0.02,418.3, 34.1,  4.1, 0.9,4187,146,1.831,0.018,0.22,0.3,1.37,0.19,23.55,1.21,1.19,0.16,21.96,1.12,1.34,0.19,23.32,1.2,0
13.28,95.12,1.59,7.537,0.085, 37.5,  1.5, 40.7, 6.4,5106,154,2.9,0.011,-0.01,0.3,2.5,0.22,9.3,0.32,2.58,0.23,9.44,0.33,2.62,0.23,9.52,0.33,0
12.69,6.74,0.37,1.218,0.039,286.4, 28.7,  4.5, 1.4,4466,135,1.721,0.025,-0.65,0.3,1.07,0.23,23.58,2.05,0.9,0.19,21.62,1.84,1.01,0.22,22.94,1.98,0
11.86,17.09,0.38,2.154,0.058,178.9, 25.0,  4.9, 1.0,4468,134,2.125,0.012,-0.58,0.3,1.78,0.25,19.13,1.18,1.61,0.22,18.2,1.1,1.74,0.24,18.89,1.16,0
